run_id,scenario,intensity,run,flowId,role,src,dst,dst_port,tx,rx,lost,rx_bytes,t_first_tx,t_last_rx,throughput_mbps,owd_ms,pdv_ms
ddos_i5.0_r5,ddos,5.0,5,3,flood,192.168.1.13,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9944,0.8424072585418924,3.7955862068965516,2.156851724137931
ddos_i5.0_r5,ddos,5.0,5,4,flood,192.168.1.14,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9913,0.8421526263613676,3.4527241379310345,1.8512206896551726
ddos_i5.0_r5,ddos,5.0,5,5,flood,192.168.1.15,192.168.1.1,9,2900,2874,26,3023448,1.0,29.9935,0.8381589985996946,3.422877522616562,1.751670146137787
ddos_i5.0_r5,ddos,5.0,5,6,pump,192.168.1.3,192.168.1.1,8080,2197,2197,0,1186380,3.0041,19.9992,0.5589613057412994,1.078215748748293,1.165980883022303
ddos_i5.0_r5,ddos,5.0,5,7,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
ddos_i8.0_r1,ddos,8.0,1,1,flood,192.168.1.11,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9935,0.8419698860809887,5.89251724137931,3.1744482758620687
ddos_i8.0_r1,ddos,8.0,1,2,flood,192.168.1.12,192.168.1.1,9,2900,2871,29,3020292,1.0,29.9938,0.8434361113535213,5.76032741205155,2.9403413444792754
ddos_i8.0_r1,ddos,8.0,1,3,flood,192.168.1.13,192.168.1.1,9,2900,2872,28,3021344,1.0,29.9937,0.8428828136415136,5.50891364902507,2.7606754874651807
ddos_i8.0_r1,ddos,8.0,1,4,flood,192.168.1.14,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9967,0.841809871909445,6.189758620689655,3.221993103448276
ddos_i8.0_r1,ddos,8.0,1,5,flood,192.168.1.15,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9911,0.8421395500979594,5.859310344827586,2.8795172413793106
ddos_i8.0_r1,ddos,8.0,1,6,flood,192.168.1.16,192.168.1.1,9,2900,2870,30,3019240,1.0,29.9933,0.843208854245941,5.805296167247387,2.950864111498258
ddos_i8.0_r1,ddos,8.0,1,7,flood,192.168.1.17,192.168.1.1,9,2900,2895,5,3045540,1.0,29.9934,0.8431812196343332,7.626632124352332,3.521727115716753
ddos_i8.0_r1,ddos,8.0,1,8,flood,192.168.1.18,192.168.1.1,9,2900,2894,6,3044488,1.0,29.9945,0.8411285727211633,6.73341395991707,2.8710642709053213
ddos_i8.0_r1,ddos,8.0,1,9,pump,192.168.1.3,192.168.1.1,8080,2197,1956,241,1056240,3.0041,19.9998,0.5289640282275405,3.8998415132924333,2.4616002044989775
ddos_i8.0_r1,ddos,8.0,1,10,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
ddos_i8.0_r2,ddos,8.0,2,1,flood,192.168.1.11,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9968,0.841987604638687,5.045586206896552,2.851348275862069
ddos_i8.0_r2,ddos,8.0,2,2,flood,192.168.1.12,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9951,0.8418725925394465,5.077689655172414,2.7417862068965517
ddos_i8.0_r2,ddos,8.0,2,3,flood,192.168.1.13,192.168.1.1,9,2900,2899,1,3049748,1.0,29.9928,0.843648736497047,5.2350465677819935,2.831162469817178
ddos_i8.0_r2,ddos,8.0,2,4,flood,192.168.1.14,192.168.1.1,9,2900,2875,25,3024500,1.0,29.9908,0.8424063660241037,5.325460869565218,2.869269565217391
ddos_i8.0_r2,ddos,8.0,2,5,flood,192.168.1.15,192.168.1.1,9,2900,2887,13,3037124,1.0,29.9929,0.8420634703340357,4.942847246276411,2.6855801870453755
ddos_i8.0_r2,ddos,8.0,2,6,flood,192.168.1.16,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9952,0.842682992936094,5.5438965517241385,3.0504724137931034
ddos_i8.0_r2,ddos,8.0,2,7,flood,192.168.1.17,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9931,0.8419774381619347,5.981310344827587,3.40038275862069
ddos_i8.0_r2,ddos,8.0,2,8,flood,192.168.1.18,192.168.1.1,9,2900,2801,99,2946652,1.0,29.9953,0.8427912211512094,7.151695822920386,3.726561942163513
ddos_i8.0_r2,ddos,8.0,2,9,pump,192.168.1.3,192.168.1.1,8080,2197,2197,0,1186380,3.0041,19.9992,0.5589168683120617,2.3294902139280835,1.9473645880746473
ddos_i8.0_r2,ddos,8.0,2,10,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
ddos_i8.0_r3,ddos,8.0,3,1,flood,192.168.1.11,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9979,0.8424537833342135,5.466068965517241,3.218093103448276
ddos_i8.0_r3,ddos,8.0,3,2,flood,192.168.1.12,192.168.1.1,9,2900,2870,30,3019240,1.0,29.995,0.8426949161471473,5.357351916376307,2.7448675958188153
ddos_i8.0_r3,ddos,8.0,3,3,flood,192.168.1.13,192.168.1.1,9,2900,2870,30,3019240,1.0,29.992,0.8415020690971852,7.070940766550523,3.658780487804878
ddos_i8.0_r3,ddos,8.0,3,4,flood,192.168.1.14,192.168.1.1,9,2900,2899,1,3049748,1.0,29.9991,0.8424898599348466,5.518661607450845,2.9753363228699556
ddos_i8.0_r3,ddos,8.0,3,5,flood,192.168.1.15,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9964,0.842524452692575,5.676862068965518,3.09161724137931
ddos_i8.0_r3,ddos,8.0,3,6,flood,192.168.1.16,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9934,0.8419954475170752,5.651241379310345,3.2309551724137937
ddos_i8.0_r3,ddos,8.0,3,7,flood,192.168.1.17,192.168.1.1,9,2900,2802,98,2947704,1.0,29.9936,0.8428221221564317,6.829800142755175,3.4988294075660247
ddos_i8.0_r3,ddos,8.0,3,8,flood,192.168.1.18,192.168.1.1,9,2900,2872,28,3021344,1.0,29.9966,0.842276284509777,5.539032033426184,2.934850278551532
ddos_i8.0_r3,ddos,8.0,3,9,pump,192.168.1.3,192.168.1.1,8080,2197,2196,1,1185840,3.0041,20.0026,0.5591428776874955,2.6060154826958106,2.0231329690346085
ddos_i8.0_r3,ddos,8.0,3,10,telemetry,10.1.1.2,192.168.1.2,9090,1999,1999,0,567716,4.004,18.9988,0.30294262822137613,2.7626663331665835,0.0
ddos_i8.0_r4,ddos,8.0,4,1,flood,192.168.1.11,192.168.1.1,9,2900,2796,104,2941392,1.0,29.9971,0.8429132081311226,9.814628040057226,4.120386266094421
ddos_i8.0_r4,ddos,8.0,4,2,flood,192.168.1.12,192.168.1.1,9,2900,2891,9,3041332,1.0,29.9908,0.8436196095876709,7.364614320304392,3.6380491179522654
ddos_i8.0_r4,ddos,8.0,4,3,flood,192.168.1.13,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9942,0.8445652978838114,7.512586206896552,3.7925172413793105
ddos_i8.0_r4,ddos,8.0,4,4,flood,192.168.1.14,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9939,0.8436585268054052,7.118965517241379,3.4811034482758623
ddos_i8.0_r4,ddos,8.0,4,5,flood,192.168.1.15,192.168.1.1,9,2900,2693,207,2833036,1.0,29.9943,0.8426115719316952,10.993018937987374,4.2145191236539175
ddos_i8.0_r4,ddos,8.0,4,6,flood,192.168.1.16,192.168.1.1,9,2900,2896,4,3046592,1.0,29.9941,0.8408546706010246,7.218301104972375,3.631629834254144
ddos_i8.0_r4,ddos,8.0,4,7,flood,192.168.1.17,192.168.1.1,9,2900,2900,0,3050800,1.0,29.9938,0.8425884434084397,6.977241379310346,3.286444827586207
