run_id,scenario,intensity,run,n_flows,total_throughput_mbps,max_flow_throughput_mbps,max_flow_txpackets,flow_concentration,delivery_ratio,overall_loss_ratio,control_owd_ms,control_pdv_ms,mean_owd_ms,mean_pdv_ms,telemetry_throughput_mbps,label_class,label_binary
normal_i0.0_r32,normal,0.0,32,2,0.86152397529662,0.5585813470752438,2197,0.5235938989513823,1.0,0.0,0.33577105143377334,0.04445662266727355,1.5492186923001785,0.022228311333636775,0.30294262822137613,normal,normal
normal_i0.0_r33,normal,0.0,33,2,0.8615289065139962,0.5585862782926201,2197,0.5235938989513823,1.0,0.0,0.3322917614929449,0.034840691852526175,1.5474790473297642,0.017420345926263087,0.30294262822137613,normal,normal
normal_i0.0_r34,normal,0.0,34,2,0.8617703138331108,0.5588276856117346,2197,0.5235938989513823,1.0,0.0,0.33978789258079195,0.04076822940373236,1.5512271128736876,0.02038411470186618,0.30294262822137613,normal,normal
normal_i0.0_r35,normal,0.0,35,2,0.8616726075406245,0.5587299793192484,2197,0.5235938989513823,1.0,0.0,0.3441670459717797,0.05131543013199818,1.5534166895691817,0.02565771506599909,0.30294262822137613,normal,normal
normal_i0.0_r36,normal,0.0,36,2,0.861850609895443,0.558907981674067,2197,0.5235938989513823,1.0,0.0,0.3506449704142012,0.04497760582612654,1.5566556517903924,0.02248880291306327,0.30294262822137613,normal,normal
normal_i0.0_r37,normal,0.0,37,2,0.8617660364115696,0.5588234081901935,2197,0.5235938989513823,1.0,0.0,0.33846973145197995,0.03908789258079198,1.5505680323092816,0.01954394629039599,0.30294262822137613,normal,normal
normal_i0.0_r38,normal,0.0,38,2,0.8615298927679196,0.5585872645465435,2197,0.5235938989513823,1.0,0.0,0.338044151115157,0.047440600819299045,1.5503552421408702,0.023720300409649522,0.30294262822137613,normal,normal
normal_i0.0_r39,normal,0.0,39,2,0.8617900566272634,0.5588474284058872,2197,0.5235938989513823,1.0,0.0,0.346642694583523,0.04683067819754211,1.5546545138750532,0.023415339098771054,0.30294262822137613,normal,normal
normal_i0.0_r40,normal,0.0,40,2,0.8614707236962644,0.5585280954748882,2197,0.5235938989513823,1.0,0.0,0.3325848884842968,0.03803268092853891,1.54762561082544,0.019016340464269456,0.30294262822137613,normal,normal
dos_i10.0_r1,dos,10.0,1,3,0.9463590011217605,0.5589359590825975,2197,0.4897458760588497,1.0,0.0,0.35096722803823394,0.05368730086481566,1.2361307272981576,0.0893291002882719,0.30294262822137613,dos,attack
dos_i10.0_r2,dos,10.0,2,3,0.9462458701910825,0.5588365696964772,2197,0.4897458760588497,1.0,0.0,0.3421939007737825,0.04277942649066909,1.2244143308536852,0.06723980883022303,0.30294262822137613,dos,attack
dos_i10.0_r3,dos,10.0,3,3,0.9461613466092941,0.5587401760221352,2197,0.4897458760588497,1.0,0.0,0.33856349567592176,0.04271160673645881,1.2344030463957776,0.08621306431445179,0.30294262822137613,dos,attack
dos_i10.0_r4,dos,10.0,4,3,0.9462858612163673,0.5588737543015021,2197,0.4897458760588497,1.0,0.0,0.347967228038234,0.05254893035958125,1.239587049137238,0.09061044805089491,0.30294262822137613,dos,attack
dos_i10.0_r5,dos,10.0,5,3,0.9462609454462334,0.5588464412330488,2197,0.4897458760588497,1.0,0.0,0.3462212107419208,0.05155666818388712,1.2421671123373175,0.10188371698083593,0.30294262822137613,dos,attack
dos_i10.0_r6,dos,10.0,6,3,0.9459977966550178,0.5585793746126716,2197,0.4897458760588497,1.0,0.0,0.3397669549385526,0.05302639963586709,1.2436271879890684,0.11106236309701317,0.30294262822137613,dos,attack
dos_i10.0_r7,dos,10.0,7,3,0.9463052772821069,0.5588918547935477,2197,0.4897458760588497,1.0,0.0,0.34538188438780154,0.046327264451524804,1.2372333138974387,0.08408770884016344,0.30294262822137613,dos,attack
dos_i10.0_r8,dos,10.0,8,3,0.9462184220518253,0.5588095892757998,2197,0.4897458760588497,1.0,0.0,0.3466349567592171,0.054162494310423304,1.225559050664922,0.07499715327588823,0.30294262822137613,dos,attack
dos_i10.0_r9,dos,10.0,9,3,0.9459734557016205,0.5585557061483242,2197,0.4897458760588497,1.0,0.0,0.33803732362312244,0.04253140646335912,1.2335517936425457,0.07451748031537259,0.30294262822137613,dos,attack
dos_i10.0_r10,dos,10.0,10,3,0.9462470090105242,0.5588339373456236,2197,0.4897458760588497,1.0,0.0,0.3455826126536185,0.052143832498862085,1.2278737865377685,0.07907495566054024,0.30294262822137613,dos,attack
dos_i20.0_r1,dos,20.0,1,3,1.0305550701441408,0.5589435299216976,2197,0.46000837520938026,1.0,0.0,0.356518889394629,0.06238097405553027,1.235089327060634,0.08685285342080895,0.30294262822137613,dos,attack
dos_i20.0_r2,dos,20.0,2,3,1.0304257393299963,0.5588345954310122,2197,0.46000837520938026,1.0,0.0,0.34712608101957215,0.05261310878470642,1.2253359771425116,0.07486316269835042,0.30294262822137613,dos,attack
dos_i20.0_r3,dos,20.0,3,3,1.030358512281746,0.5587507020413066,2197,0.46000837520938026,1.0,0.0,0.34379745106964044,0.052172052799271736,1.2279758591132242,0.07948263828941242,0.30294262822137613,dos,attack
