run_id,scenario,intensity,run,n_flows,total_throughput_mbps,max_flow_throughput_mbps,max_flow_txpackets,flow_concentration,delivery_ratio,overall_loss_ratio,monitor_owd_ms,monitor_pdv_ms,victim_startup_lag_ms,mean_owd_ms,mean_pdv_ms,telemetry_throughput_mbps,label_class,label_binary,e2e_delay_mean_ms,e2e_delay_median_ms,e2e_delay_p95_ms,e2e_delivered_n
greypos_i0.1_r9,greypos,0.1,9,8,9.846975451275693,9.53626605191159,17849,0.769751595652924,0.8910662824207493,0.0021562877350353,7.9199943841649905,3.642619162634881,86.03000000000006,5.155717903963911,3.6873935390148014,0.049436556572137,greypos,attack,7.91423,1.75392,37.6976,1546.0
greypos_i0.1_r10,greypos,0.1,10,7,11.79659045396495,11.572641850553712,27507,0.8723518964861093,0.7789855072463768,0.1793099073956615,43.25910286942136,9.584902257126016,22.549999999999848,16.52853715105868,8.099439177560205,0.0682902285505856,greypos,attack,37.6419,2.21792,165.756,1075.0
greypos_i0.2_r1,greypos,0.2,1,4,12.567285032067105,12.372280263234977,21554,0.8762857259015328,0.7917620137299771,0.0229702809285685,16.344762960971455,6.859336962853431,9.180000000000188,6.936668041089918,1.8705863583492195,0.0599124873779872,greypos,attack,16.1935,4.17016,85.2224,1038.0
greypos_i0.2_r2,greypos,0.2,2,5,13.47916524406372,13.276484890587012,26647,0.9017597292724197,0.7786195286195287,0.0414890016920473,31.40945665388572,12.57328194145703,20.98000000000022,21.117184785186332,11.507036669108825,0.0486656791345627,greypos,attack,32.03,12.6467,125.89,925.0
greypos_i0.2_r3,greypos,0.2,3,5,10.456481886835896,10.24258650749506,17441,0.8435384020119946,0.7837626854020296,0.0102050686786612,11.36403071716287,5.849139219324436,19.449999999999967,7.43673533593561,2.962709962002483,0.0570252222782444,greypos,attack,12.0015,2.88537,52.504,1004.0
greypos_i0.2_r4,greypos,0.2,4,6,12.75255881050096,12.532610785645444,29921,0.8891299179840723,0.7061098221191029,0.1916973731130393,40.677314950151214,10.53278947624192,17.819999999999947,18.883721174754022,6.725954437599895,0.04189795966267,greypos,attack,39.1673,11.1692,178.42,913.0
greypos_i0.2_r5,greypos,0.2,5,8,10.61897371736564,10.329548612898243,18170,0.7940045446600245,0.7747480735032602,0.0155130221989162,9.22518809849677,3.726895624939977,18.86999999999972,7.444902122071688,3.687273091203151,0.0424592910434269,greypos,attack,9.19924,2.41213,32.8646,1307.0
greypos_i0.2_r6,greypos,0.2,6,4,10.10246266950947,9.919174725477928,18613,0.8596037500577287,0.8045387994143485,0.001662587170369,4.4494361774107,3.280353188213061,21.15,2.7171297947025512,0.975000020597242,0.0441119501089144,greypos,attack,4.45683,1.97635,17.0209,1099.0
greypos_i0.2_r7,greypos,0.2,7,7,11.503814982445366,11.27190195099984,17015,0.8240507555211158,0.805701425356339,0.0002905850445563,5.350056173261192,3.792378765082332,14.99000000000006,4.241213520042499,3.148626595799701,0.0505051451034098,greypos,attack,5.30513,2.25538,20.0013,1074.0
greypos_i0.2_r8,greypos,0.2,8,5,12.328431543278151,12.123702501015584,22656,0.8910213552522909,0.766245487364621,0.1529869823416053,16.2567475373591,7.426606490712043,21.480000000000388,15.558579067384674,7.932508187987777,0.0584526897623245,greypos,attack,16.2349,0.651755,95.0785,849.0
