run_id,scenario,intensity,run,n_flows,total_throughput_mbps,max_flow_throughput_mbps,max_flow_txpackets,flow_concentration,delivery_ratio,overall_loss_ratio,monitor_owd_ms,monitor_pdv_ms,victim_startup_lag_ms,mean_owd_ms,mean_pdv_ms,telemetry_throughput_mbps,label_class,label_binary,e2e_delay_mean_ms,e2e_delay_median_ms,e2e_delay_p95_ms,e2e_delivered_n
greyhole_i0.6_r3,greyhole,0.6,3,5,10.198304258362803,10.017023296489509,17441,0.86474292230651,0.3840749414519906,0.0293519758044523,12.129160854853186,8.231036472358369,90.82999999999996,5.606994761110071,2.529888415755745,0.0570252222782444,greyhole,attack,12.3004,4.70473,50.5915,492.0
greyhole_i0.6_r4,greyhole,0.6,4,6,12.058289764929867,11.876971345979053,29921,0.90245815110843,0.3155452436194895,0.2361031518624642,56.7628900351845,16.544790683180395,25.71000000000012,22.92940552777172,7.365175824336618,0.04189795966267,greyhole,attack,48.0394,9.94978,228.446,408.0
greyhole_i0.6_r5,greyhole,0.6,5,8,10.657572764427004,10.402436301215635,18170,0.8174374662587727,0.3870776526378186,0.0064783156379341,15.84153895927296,9.144309549580464,40.20999999999964,6.285478092540299,4.354962452254005,0.0424592910434269,greyhole,attack,16.2057,4.85048,74.0357,653.0
greyhole_i0.6_r6,greyhole,0.6,6,4,9.95418923520277,9.80444785698672,18613,0.8830953171703753,0.3806734992679356,0.0127627271433315,10.424586894586897,7.746343874643873,28.82999999999969,4.528856847264868,2.097669397294634,0.0441119501089144,greyhole,attack,10.4109,3.54177,49.5842,520.0
greyhole_i0.6_r7,greyhole,0.6,7,7,11.192322294115025,11.000070053478217,17015,0.8466437776782605,0.3795948987246811,0.0249788525650594,16.622783014087364,11.303198540589843,112.7100000000003,6.865821480176055,4.829680897909578,0.0505051451034098,greyhole,attack,15.0759,3.89906,65.9038,506.0
greyhole_i0.6_r8,greyhole,0.6,8,5,12.148652608934038,11.977066025775622,22656,0.9058414297709008,0.3691335740072202,0.1167886130102754,22.47057657715461,11.163280476990304,21.560000000000024,20.691750031193763,10.628533279413896,0.0584526897623245,greyhole,attack,20.4924,1.23712,108.375,409.0
greyhole_i0.6_r9,greyhole,0.6,9,8,9.696039829554026,9.438264859324171,17849,0.7991135386819485,0.3902017291066282,0.0146400429799426,15.562075999037198,7.875140671294813,158.15,6.974117449727309,4.460946949166859,0.049436556572137,greyhole,attack,15.5881,3.52882,73.0618,677.0
greyhole_i0.6_r10,greyhole,0.6,10,7,11.305861419978193,11.1257562144896,27507,0.8912325038880249,0.2985507246376812,0.213646967340591,36.01978906660879,15.601337560210034,25.879999999999903,15.476801299877224,9.825625058696206,0.0682902285505856,greyhole,attack,35.0044,2.10546,158.094,412.0
greyhole_i0.7_r1,greyhole,0.7,1,4,12.363880137392009,12.206408040122534,21554,0.9004470067259891,0.064836003051106,0.0480427789614404,41.43286879252094,17.74623890405887,36.24999999999989,13.156945321171555,4.593678476316053,0.0599124873779872,greyhole,attack,54.0563,17.9981,214.616,85.0
greyhole_i0.7_r2,greyhole,0.7,2,5,13.167885621995644,13.009930764266132,26647,0.920004143074161,0.2752525252525252,0.0602817290429498,37.80208846988599,21.269470645741936,29.47999999999995,16.233785290865878,9.804408466912962,0.0486656791345627,greyhole,attack,38.5285,17.5604,135.486,327.0
greyhole_i0.7_r3,greyhole,0.7,3,5,10.263048300791883,10.090059318304158,17441,0.870309381237525,0.2857142857142857,0.0243013972055888,19.786931388964604,11.36083823319445,87.47000000000016,9.195672713372897,4.000200657338024,0.0570252222782444,greyhole,attack,19.8075,4.90979,85.8581,366.0
greyhole_i0.7_r4,greyhole,0.7,4,6,12.056589615043071,11.880307274374395,29921,0.9055718652583156,0.2498066511987625,0.2348597197421385,52.733567208577206,19.799109555618656,23.550000000000185,25.31625173980092,8.584285622667126,0.04189795966267,greyhole,attack,50.0231,9.92697,241.062,323.0
greyhole_i0.7_r5,greyhole,0.7,5,8,10.649730098582175,10.40449865338671,18170,0.8235507410596927,0.2874925903971547,0.0066174137696596,11.38889617827762,7.135478190026401,40.20999999999964,5.700379670871018,4.041881529776665,0.0424592910434269,greyhole,attack,11.4534,3.8327,42.4397,485.0
greyhole_i0.7_r6,greyhole,0.7,6,4,10.010296617608812,9.867308147967648,18613,0.8886607782286942,0.2855051244509516,0.0065886846502745,8.275014894419307,6.93009709653092,26.44000000000002,3.9932648154780006,1.8908837590369607,0.0441119501089144,greyhole,attack,7.86391,3.01947,34.0442,390.0
greyhole_i0.7_r7,greyhole,0.7,7,7,11.330960906154273,11.14272584909708,17015,0.8515589810319804,0.3053263315828957,0.0096591762174065,17.375410278645575,13.80381491322668,112.7100000000003,6.691013174455104,5.029834337378829,0.0505051451034098,greyhole,attack,17.3436,6.17222,75.8988,407.0
greyhole_i0.7_r8,greyhole,0.7,8,5,12.121306377506366,11.961026418997124,22656,0.910501145360286,0.2770758122743682,0.1203633002451472,32.322537203806604,15.242079133933704,42.20000000000024,24.965466326113248,12.42091185326342,0.0584526897623245,greyhole,attack,32.5854,0.985992,198.58,307.0
greyhole_i0.7_r9,greyhole,0.7,9,8,9.771075065071573,9.520329620792523,17849,0.805169613857813,0.3020172910662824,0.0047365571995669,15.351836798852304,9.355424230885037,157.97000000000017,5.3429398933221,3.63277760085819,0.049436556572137,greyhole,attack,15.3698,3.09203,80.3666,524.0
greyhole_i0.7_r10,greyhole,0.7,10,7,11.036172391839688,10.860281483329986,27507,0.8940713774946369,0.2398550724637681,0.2300266527985438,27.015743093218795,12.72663201792929,25.879999999999903,13.707677827078523,8.043015301712012,0.0682902285505856,greyhole,attack,24.5652,1.55358,117.56,331.0
greyhole_i0.8_r1,greyhole,0.8,1,4,12.634277880631016,12.484023472207308,21554,0.9048318710381597,0.202135774218154,0.0155744930943285,19.350480247869868,14.518540227701212,36.24999999999989,7.146004329086878,3.7832805955029296,0.0599124873779872,greyhole,attack,16.7176,5.39177,71.3839,265.0
greyhole_i0.8_r2,greyhole,0.8,2,5,12.785864915129851,12.638799194066356,26647,0.9239918166371928,0.1734006734006734,0.0871042685252609,60.92094419463413,26.30603050434199,28.990000000000293,27.82138122110593,13.378409690025997,0.0486656791345627,greyhole,attack,57.056,19.0693,256.755,206.0
greyhole_i0.8_r3,greyhole,0.8,3,5,10.278904010715118,10.115085750279157,17441,0.8765202532917881,0.1740827478532396,0.0212081616242838,14.31435781537527,9.556463973701607,87.47000000000016,5.890135871474152,2.960998223463535,0.0570252222782444,greyhole,attack,16.111,4.59514,72.7557,223.0
greyhole_i0.8_r4,greyhole,0.8,4,6,12.681284293327002,12.509558262837016,29921,0.9088175439662244,0.1747873163186388,0.1998602800473833,59.436461281214015,26.760821226318363,39.53000000000007,23.97088995808581,9.06899112462609,0.04189795966267,greyhole,attack,55.608,14.3659,243.58,226.0
greyhole_i0.8_r5,greyhole,0.8,5,8,10.67927269741709,10.44184423916508,18170,0.8294909837936544,0.1962062833432128,0.0030130107281442,17.5737873507409,9.207149996403396,129.28999999999968,5.861304517303152,3.9151830178892313,0.0424592910434269,greyhole,attack,17.2197,3.99232,84.3896,331.0
greyhole_i0.8_r6,greyhole,0.8,6,4,10.037115385569548,9.901065162945628,18613,0.8936956834877803,0.1998535871156661,0.0036971239256734,7.654959815092656,6.704859846180879,26.44000000000002,3.550566340789932,1.8290388683765133,0.0441119501089144,greyhole,attack,6.72684,3.00465,29.4684,273.0
greyhole_i0.8_r7,greyhole,0.8,7,7,11.28542976151406,11.10587946220589,17015,0.8572652156388553,0.2055513878469617,0.0132003224506247,24.592634588925662,16.488047182791185,112.7100000000003,8.119154046643294,5.918967745637787,0.0505051451034098,greyhole,attack,24.5386,6.45458,115.812,274.0
greyhole_i0.8_r8,greyhole,0.8,8,5,12.311354046472696,12.156297596976833,22656,0.9142119280122668,0.1814079422382671,0.106528932289565,24.157846164041825,16.06273139535434,42.20000000000024,22.409029024719164,12.985154709169231,0.0584526897623245,greyhole,attack,22.1265,0.998378,116.739,201.0
greyhole_i0.8_r9,greyhole,0.8,9,8,9.720079330517668,9.479560563153983,17849,0.81168713051387,0.1994236311239193,0.0072760345611641,13.308385262465343,8.322267393070298,157.97000000000017,5.605264807467571,3.9154465292858505,0.049436556572137,greyhole,attack,12.5189,2.98079,60.1679,346.0
greyhole_i0.8_r10,greyhole,0.8,10,7,10.211923635642233,10.045130674499513,27507,0.8980997779809324,0.1391304347826087,0.2814744678072352,43.806984873813626,12.214892755069028,47.87000000000008,20.927600728762428,9.892977222896018,0.0682902285505856,greyhole,attack,45.3877,2.19972,197.83,192.0
greyhole_i0.9_r1,greyhole,0.9,1,4,12.464905174144551,12.322267054243218,21554,0.9096817759770406,0.1052631578947368,0.0276441293154385,16.29201966873706,12.942815734989647,36.24999999999989,6.511613625304515,3.391467925526793,0.0599124873779872,greyhole,attack,13.7427,3.57209,71.1616,138.0
greyhole_i0.9_r2,greyhole,0.9,2,5,13.337228039398534,13.193244642976545,26647,0.9275296738487244,0.09006734006734,0.0478262382957986,52.44752608459121,30.64800457952045,230.9300000000003,19.159060444112384,11.622874325540336,0.0486656791345627,greyhole,attack,50.7335,14.5602,238.707,107.0
greyhole_i0.9_r3,greyhole,0.9,3,5,10.067284913275673,9.910871897713443,17441,0.8815709664375253,0.0850897736143637,0.0403356247472705,11.267678532110091,10.08210466055046,87.47000000000016,5.312567463763223,2.814537684979958,0.0570252222782444,greyhole,attack,9.99503,2.97016,48.3672,109.0
greyhole_i0.9_r4,greyhole,0.9,4,6,12.64788206776494,12.483391775429476,29921,0.9120031699585468,0.0873936581593194,0.2027249451353328,43.85593468414011,26.477849750955077,39.53000000000007,19.798484154291305,8.573246337678095,0.04189795966267,greyhole,attack,35.4179,10.8653,114.386,113.0
greyhole_i0.9_r5,greyhole,0.9,5,8,10.656711779821624,10.429684532530844,18170,0.8361711919005983,0.0918790752815649,0.004325816843074,8.99848503525524,7.001373156064478,129.28999999999968,5.19897545178611,3.818572103851487,0.0424592910434269,greyhole,attack,8.73772,3.28982,33.2603,155.0
greyhole_i0.9_r6,greyhole,0.9,6,4,9.948785662816164,9.820762479429511,18613,0.8998307952622674,0.095900439238653,0.0110708242687938,9.448868075366176,9.1818416791638,150.69999999999962,4.261841502424931,2.455164975129067,0.0441119501089144,greyhole,attack,9.50137,3.56414,40.5684,131.0
greyhole_i0.9_r7,greyhole,0.9,7,7,11.319785574798876,11.147112949139023,17015,0.8621301175516822,0.1215303825956489,0.0095764085934333,12.06323992546005,11.131828325180528,209.64000000000027,5.258194066125784,4.280149726402261,0.0505051451034098,greyhole,attack,12.7766,5.01057,46.5419,162.0
greyhole_i0.9_r8,greyhole,0.9,8,5,12.181524783161423,12.036634247792003,22656,0.9189956597574332,0.0731046931407942,0.1156045917332576,28.400035803666583,16.765825460119025,42.20000000000024,17.427831083521504,9.286596495950898,0.0584526897623245,greyhole,attack,33.556,1.10234,213.884,81.0
greyhole_i0.9_r9,greyhole,0.9,9,8,9.712222728109571,9.481008478639742,17849,0.8178610703812317,0.1048991354466858,0.0095307917888563,12.200521303258146,11.707065805539491,249.47000000000008,5.484936000558908,4.152510315178517,0.049436556572137,greyhole,attack,11.5283,2.22934,58.0737,182.0
